Individual	longitude	latitude	species	Haplotype_available
4005	7.60	47.57	Niphargus_caspary	No
4006	7.60	47.57	Niphargus_inopinatus	No
4007	8.80	46.97	Niphargus_muotae	No
4008	8.80	46.97	Niphargus_muotae	No
4009	8.80	46.97	Niphargus_muotae	No
4010	8.80	46.97	Niphargus_murimali	No
4011	8.79	46.97	Niphargus_murimali	No
4012	47.6	7.661	Niphargus_laisi	No
4014	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
4015	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
4016	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
4017	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
4018	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
4019	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
4020	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
4021	7.60	47.57	Niphargus_rhenorhodanensis_Komplex	No
4024	7.18	47.27	Niphargus_rhenorhodanensis_Komplex	No
4025	6.80	46.96	Niphargus_rhenorhodanensis_Komplex	No
4026	6.80	46.96	Niphargus_rhenorhodanensis_Komplex	No
4027	6.91	47.35	Niphargus_rhenorhodanensis_Komplex	No
4028	6.72	46.95	Niphargus_rhenorhodanensis_Komplex	No
4029	6.80	46.96	Niphargus_rhenorhodanensis_Komplex	No
4031	7.47	46.48	Niphargus_sp.	No
4032	7.87	46.77	Niphargus_luchoffmanni	No
4033	8.88	46.97	Niphargus_sp.	No
4034	8.80	46.97	Niphargus_styx	No
4035	8.80	46.97	Niphargus_styx	No
4036	8.80	46.98	Niphargus_styx	No
4037	8.79	46.97	Niphargus_styx	No
4038	8.80	46.97	Niphargus_styx	No
4039	8.80	46.97	Niphargus_styx	No
4049	7.60	47.57	Niphargus_virei	No
4051	6.54	46.91	Niphargus_virei	No
4052	6.23	46.56	Niphargus_setiferus	No
4053	6.24	46.54	Niphargus_sp.	No
4054	6.32	46.64	Niphargus_virei	No
4055	6.34	46.69	Niphargus_setiferus	No
4056	6.38	46.68	Gammarus_fossarum_Komplex	No
